PONTO,MD_LAT_GD,MD_LON_GD,DATA,ORG,Tag,SAL,TSM,SAL_sat
AI,"-26,77998611","-48,61129444",7/29/2004,pp,"18,8","31,76666667",,
AI,"-26,77998611","-48,61129444",8/5/2004,pp,"19,36666667","33,4",,
AI,"-26,77998611","-48,61129444",8/12/2004,pp,"18,63333333","33,7",,
AI,"-26,77998611","-48,61129444",8/19/2004,pp,"19,86666667","33,96666667",,
AI,"-26,77998611","-48,61129444",8/26/2004,pp,"19,16666667","34,43333333",,
AI,"-26,77998611","-48,61129444",9/2/2004,pp,"20,73333333","34,1",,
AI,"-26,77998611","-48,61129444",9/9/2004,pp,"21,3","34,23333333",,
AI,"-26,77998611","-48,61129444",9/16/2004,pp,"21,1","34,13333333",,
AI,"-26,77998611","-48,61129444",9/23/2004,pp,"20,03333333",34,,
AI,"-26,77998611","-48,61129444",9/30/2004,pp,"19,5","35,2",,
ES,,,10/1/2004,pp,,,,
IPE,,,10/1/2004,pp,,,,
PL,"-26,22440278","-48,62082778",10/1/2004,pp,,,,
PL,"-26,22440278","-48,62082778",10/1/2004,pp,,,,
AI,"-26,77998611","-48,61129444",10/7/2004,pp,22,"34,96666667",,
AI,"-26,77998611","-48,61129444",10/14/2004,pp,"21,4","33,7",,
ES,,,10/15/2004,pp,,,,
IPE,,,10/15/2004,pp,,,,
PL,"-26,22440278","-48,62082778",10/15/2004,pp,,,,
PL,"-26,22440278","-48,62082778",10/15/2004,pp,,,,
ES,,,10/29/2004,pp,,,,
IPE,,,10/29/2004,pp,,,,
PL,"-26,22440278","-48,62082778",10/29/2004,pp,,,,
PL,"-26,22440278","-48,62082778",10/29/2004,pp,,,,
AI,"-26,77998611","-48,61129444",11/4/2004,pp,24,,,
ES,,,11/16/2004,pp,,,,
IPE,,,11/16/2004,pp,,,,
PL,"-26,22440278","-48,62082778",11/16/2004,pp,,,,
PL,"-26,22440278","-48,62082778",11/16/2004,pp,,,,
ES,,,11/30/2004,pp,,,,
IPE,,,11/30/2004,pp,,,,
PL,"-26,22440278","-48,62082778",11/30/2004,pp,,,,
PL,"-26,22440278","-48,62082778",11/30/2004,pp,,,,
AI,"-26,77998611","-48,61129444",12/2/2004,pp,"24,3","32,96666667",,
AI,"-26,77998611","-48,61129444",12/9/2004,pp,"25,5","33,03333333",,
ES,,,12/15/2004,pp,,,,
IPE,,,12/15/2004,pp,,,,
PL,"-26,22440278","-48,62082778",12/15/2004,pp,,,,
PL,"-26,22440278","-48,62082778",12/15/2004,pp,,,,
AI,"-26,77998611","-48,61129444",12/16/2004,pp,"25,96666667","31,7",,
ES,,,1/7/2005,pp,,,,
IPE,,,1/7/2005,pp,,,,
PL,"-26,22440278","-48,62082778",1/7/2005,pp,,,,
PL,"-26,22440278","-48,62082778",1/7/2005,pp,,,,
ES,,,1/21/2005,pp,,,,
IPE,,,1/21/2005,pp,,,,
PL,"-26,22440278","-48,62082778",1/21/2005,pp,,,,
PL,"-26,22440278","-48,62082778",1/21/2005,pp,,,,
AI,"-26,77998611","-48,61129444",2/3/2005,pp,"25,6","33,53333333",,
ES,,,2/4/2005,pp,,,,
IPE,,,2/4/2005,pp,,,,
PL,"-26,22440278","-48,62082778",2/4/2005,pp,,,,
PL,"-26,22440278","-48,62082778",2/4/2005,pp,,,,
AI,"-26,77998611","-48,61129444",2/11/2005,pp,"26,7","33,93333333",,
AI,"-26,77998611","-48,61129444",2/17/2005,pp,"26,6","32,83333333",,
ES,,,2/18/2005,pp,,,,
IPE,,,2/18/2005,pp,,,,
PL,"-26,22440278","-48,62082778",2/18/2005,pp,,,,
PL,"-26,22440278","-48,62082778",2/18/2005,pp,,,,
AI,"-26,77998611","-48,61129444",2/24/2005,pp,"27,6","34,1",,
ES,,,3/3/2005,pp,,,,
IPE,,,3/3/2005,pp,,,,
PL,"-26,22440278","-48,62082778",3/3/2005,pp,,,,
PL,"-26,22440278","-48,62082778",3/3/2005,pp,,,,
AI,"-26,77998611","-48,61129444",3/9/2005,pp,"28,1","33,43333333",,
AI,"-26,77998611","-48,61129444",3/16/2005,pp,"28,5","33,13333333",,
ES,,,3/17/2005,pp,,,,
IPE,,,3/17/2005,pp,,,,
PL,"-26,22440278","-48,62082778",3/17/2005,pp,,,,
PL,"-26,22440278","-48,62082778",3/17/2005,pp,,,,
AI,"-26,77998611","-48,61129444",3/30/2005,,,,,
ES,,,3/31/2005,pp,,,,
IPE,,,3/31/2005,pp,,,,
PL,"-26,22440278","-48,62082778",3/31/2005,pp,,,,
PL,"-26,22440278","-48,62082778",3/31/2005,pp,,,,
AI,"-26,77998611","-48,61129444",4/6/2005,,,,,
AI,"-26,77998611","-48,61129444",4/13/2005,,,,,
ES,,,4/14/2005,pp,,,,
IPE,,,4/14/2005,pp,,,,
PL,"-26,22440278","-48,62082778",4/14/2005,pp,,,,
PL,"-26,22440278","-48,62082778",4/14/2005,pp,,,,
AI,"-26,77998611","-48,61129444",4/20/2005,pp,"25,33333333","34,36666667",,
AI,"-26,77998611","-48,61129444",4/27/2005,pp,"24,03333333","34,9",,
ES,,,4/28/2005,pp,,,,
IPE,,,4/28/2005,pp,,,,
PL,"-26,22440278","-48,62082778",4/28/2005,pp,,,,
PL,"-26,22440278","-48,62082778",4/28/2005,pp,,,,
AI,"-26,77998611","-48,61129444",5/11/2005,pp,"24,13333333","34,7",,
ES,,,5/12/2005,pp,,,,
IPE,,,5/12/2005,pp,,,,
PL,"-26,22440278","-48,62082778",5/12/2005,pp,,,,
PL,"-26,22440278","-48,62082778",5/12/2005,pp,,,,
AI,"-26,77998611","-48,61129444",5/25/2005,pp,"22,2","33,36666667",,
ES,,,5/27/2005,pp,,,,
IPE,,,5/27/2005,pp,,,,
PL,"-26,22440278","-48,62082778",5/27/2005,pp,,,,
PL,"-26,22440278","-48,62082778",5/27/2005,pp,,,,
AI,"-26,77998611","-48,61129444",6/1/2005,pp,"22,8","34,2",,
AI,"-26,77998611","-48,61129444",6/8/2005,pp,"23,53333333","34,33333333",,
ES,,,6/9/2005,pp,,,,
IPE,,,6/9/2005,pp,,,,
PL,"-26,22440278","-48,62082778",6/9/2005,pp,,,,
PL,"-26,22440278","-48,62082778",6/9/2005,pp,,,,
AI,"-26,77998611","-48,61129444",6/11/2005,pp,"28,8","34,2",,
AI,"-26,77998611","-48,61129444",6/22/2005,pp,"21,03333333","34,03333333",,
ES,,,6/23/2005,pp,,,,
IPE,,,6/23/2005,pp,,,,
PL,"-26,22440278","-48,62082778",6/23/2005,pp,,,,
PL,"-26,22440278","-48,62082778",6/23/2005,pp,,,,
AI,"-26,77998611","-48,61129444",6/29/2005,pp,"22,3","34,7",,
AI,"-26,77998611","-48,61129444",7/6/2005,pp,"21,06666667","35,16666667",,
ES,,,7/7/2005,pp,,,,
